Category,Material,Calliper,Price
Acrílico a medida,Cristal (Recuperado),2,9.8
Acrílico a medida,Cristal (Recuperado),3,12.2
Acrílico a medida,Cristal (Recuperado),4,16.9
Acrílico a medida,Cristal (Recuperado),5,19.9
Acrílico a medida,Cristal (Recuperado),8,31.2
Acrílico a medida,Cristal (Recuperado),10,34.1
Acrílico a medida,Opal (Recuperado),2,10.4
Acrílico a medida,Opal (Recuperado),3,12.8
Acrílico a medida,Opal (Recuperado),4,17.2
Acrílico a medida,Opal (Recuperado),5,20.5
Acrílico a medida,Opal (Recuperado),8,34.4
Acrílico a medida,Opal (Recuperado),10,37.7
Acrílico a medida,Color (Recuperado),2,11.6
Acrílico a medida,Color (Recuperado),3,13.4
Acrílico a medida,Color (Recuperado),4,18.1
Acrílico a medida,Color (Recuperado),5,21.4
Acrílico a medida,Color (Recuperado),8,35
Acrílico a medida,Color (Recuperado),10,38.3
Acrílico a medida,Cristal (Original),2,14.3
Acrílico a medida,Cristal (Original),3,18.9
Acrílico a medida,Cristal (Original),4,25.7
Acrílico a medida,Cristal (Original),5,32.7
Acrílico a medida,Cristal (Original),6,37
Acrílico a medida,Cristal (Original),8,54.3
Acrílico a medida,Cristal (Original),10,63
Acrílico a medida,Cristal (Original),15,108.8
Acrílico a medida,Opal (Original),2,16.8
Acrílico a medida,Opal (Original),3,20.1
Acrílico a medida,Opal (Original),5,34.2
Acrílico a medida,Opal (Original),10,64.3
Acrílico a medida,Color (Original),2,14.1
Acrílico a medida,Color (Original),3,20.1
Acrílico a medida,Color (Original),5,34.6
Acrílico a medida,Color (Original),10,63.4
Acrílico a medida,Color Traslúcido (Original),3,23.2
Acrílico a medida,Espejo (Original),3,28.4
Acrílico a medida,Espejo Traslúcido (Original),3,29.8
Acrílico a medida,Metalizado (Original),3,30.8
Acrílico a medida,Textura Madera (Original),3,31.5
Acrílico a medida,Blanco Sellado (Original),3,22.8
Acrílico a medida,Blanco Sellado (Original),5,33.3
Acrílico a medida,Cristal Mate (Original),3,22.8
Acrílico a medida,Negro Mate (Original),3,22.8
Ac (240x120),Cristal (Recuperado),2,208000
Ac (240x120),Cristal (Recuperado),3,253500
Ac (240x120),Cristal (Recuperado),4,345800
Ac (240x120),Cristal (Recuperado),5,396500
Ac (240x120),Cristal (Recuperado),8,592800
Ac (240x120),Cristal (Recuperado),10,705900
Ac (240x120),Opal (Recuperado),2,221000
Ac (240x120),Opal (Recuperado),3,260000
Ac (240x120),Opal (Recuperado),4,357500
Ac (240x120),Opal (Recuperado),5,409500
Ac (240x120),Opal (Recuperado),8,609700
Ac (240x120),Opal (Recuperado),10,722800
Ac (240x120),Color (Recuperado),2,240500
Ac (240x120),Color (Recuperado),3,286000
Ac (240x120),Color (Recuperado),4,371800
Ac (240x120),Color (Recuperado),5,422500
Ac (240x120),Color (Recuperado),8,627900
Ac (240x120),Color (Recuperado),10,739700
Ac (240x120),Cristal (Original),2,278600
Ac (240x120),Cristal (Original),3,379848
Ac (240x120),Cristal (Original),4,578400
Ac (240x120),Cristal (Original),5,648200
Ac (240x120),Cristal (Original),10,1406706
Ac (240x120),Opal (Original),2,375646
Ac (240x120),Opal (Original),3,399000
Ac (240x120),Opal (Original),4,620837
Ac (240x120),Opal (Original),5,638412
Ac (240x120),Color (Original),3,399000
Ac (240x120),Color (Original),5,638412
Ac (240x120),Espejo (Original),3,552613
Ac (240x120),Cristal Mate (Original),3,419832
Ac (240x120),Negro Mate (Original),3,419832
Ac (180x120),Cristal (Recuperado),2,147714
Ac (180x120),Cristal (Recuperado),3,182949
Ac (180x120),Cristal (Recuperado),4,253418
Ac (180x120),Cristal (Recuperado),5,304914
Ac (180x120),Cristal (Recuperado),8,472956
Ac (180x120),Cristal (Recuperado),10,514966
Ac (180x120),Opal (Recuperado),2,155845
Ac (180x120),Opal (Recuperado),3,195145
Ac (180x120),Opal (Recuperado),4,261549
Ac (180x120),Opal (Recuperado),5,311690
Ac (180x120),Opal (Recuperado),8,524452
Ac (180x120),Opal (Recuperado),10,571883
Ac (180x120),Color (Recuperado),2,173463
Ac (180x120),Color (Recuperado),3,203276
Ac (180x120),Color (Recuperado),4,273745
Ac (180x120),Color (Recuperado),5,322532
Ac (180x120),Color (Recuperado),8,532583
Ac (180x120),Color (Recuperado),10,581369
Ac (180x120),Cristal (Original),2,233566
Ac (180x120),Cristal (Original),3,305545
Ac (180x120),Cristal (Original),4,401028
Ac (180x120),Cristal (Original),5,512709
Ac (180x120),Cristal (Original),6,580185
Ac (180x120),Cristal (Original),8,822642
Ac (180x120),Cristal (Original),10,1019463
Ac (180x120),Cristal (Original),15,1542322
Ac (180x120),Opal (Original),2,262945
Ac (180x120),Opal (Original),3,315828
Ac (180x120),Opal (Original),4,491451
Ac (180x120),Opal (Original),5,512709
Ac (180x120),Opal (Original),10,988533
Ac (180x120),Color (Original),2,211517
Ac (180x120),Color (Original),3,315828
Ac (180x120),Color (Original),5,512709
Ac (180x120),Color (Original),10,988533
Ac (180x120),Color Traslúcido (Original),3,331959
Ac (180x120),Espejo (Original),3,437752
Ac (180x120),Espejo Traslúcido (Original),3,418663
Ac (180x120),Metalizado (Original),3,528828
Ac (180x120),Textura Madera (Original),3,470231
Ac (180x120),Blanco Sellado (Original),3,323393
Ac (180x120),Blanco Sellado (Original),5,499599
Ac (180x120),Cristal Mate (Original),3,323393
Ac (180x120),Negro Mate (Original),3,323393
Ac (120x120),Cristal (Recuperado),2,112828
Ac (120x120),Cristal (Recuperado),3,137509
Ac (120x120),Cristal (Recuperado),4,187576
Ac (120x120),Cristal (Recuperado),5,215078
Ac (120x120),Cristal (Recuperado),8,321559
Ac (120x120),Cristal (Recuperado),10,382909
Ac (120x120),Opal (Recuperado),2,119880
Ac (120x120),Opal (Recuperado),3,141035
Ac (120x120),Opal (Recuperado),4,193923
Ac (120x120),Opal (Recuperado),5,222130
Ac (120x120),Opal (Recuperado),8,330726
Ac (120x120),Opal (Recuperado),10,392076
Ac (120x120),Color (Recuperado),2,130457
Ac (120x120),Color (Recuperado),3,155138
Ac (120x120),Color (Recuperado),4,201680
Ac (120x120),Color (Recuperado),5,229182
Ac (120x120),Color (Recuperado),8,340599
Ac (120x120),Color (Recuperado),10,401244
Ac (120x120),Cristal (Original),2,153025
Ac (120x120),Cristal (Original),3,208636
Ac (120x120),Cristal (Original),4,317693
Ac (120x120),Cristal (Original),5,356032
Ac (120x120),Cristal (Original),10,772649
Ac (120x120),Opal (Original),2,206328
Ac (120x120),Opal (Original),3,219156
Ac (120x120),Opal (Original),4,341002
Ac (120x120),Opal (Original),5,350655
Ac (120x120),Color (Original),3,219156
Ac (120x120),Color (Original),5,350655
Ac (120x120),Espejo (Original),3,303529
Ac (120x120),Cristal Mate (Original),3,230598
Ac (120x120),Negro Mate (Original),3,230598
Ac (120x120),Lila (Original),3,253658
Ac (120x120),Cristal Mate (Original),2,173864
Ac (120x90),Cristal (Recuperado),2,78368
Ac (120x90),Cristal (Recuperado),3,97061
Ac (120x90),Cristal (Recuperado),4,134447
Ac (120x90),Cristal (Recuperado),5,161768
Ac (120x90),Cristal (Recuperado),8,250919
Ac (120x90),Cristal (Recuperado),10,273207
Ac (120x90),Opal (Recuperado),2,82682
Ac (120x90),Opal (Recuperado),3,103532
Ac (120x90),Opal (Recuperado),4,138761
Ac (120x90),Opal (Recuperado),5,165363
Ac (120x90),Opal (Recuperado),8,278240
Ac (120x90),Opal (Recuperado),10,303404
Ac (120x90),Color (Recuperado),2,92028
Ac (120x90),Color (Recuperado),3,107845
Ac (120x90),Color (Recuperado),4,145232
Ac (120x90),Color (Recuperado),5,171114
Ac (120x90),Color (Recuperado),8,282554
Ac (120x90),Color (Recuperado),10,308437
Ac (120x90),Cristal (Original),2,125007
Ac (120x90),Cristal (Original),3,163532
Ac (120x90),Cristal (Original),4,214635
Ac (120x90),Cristal (Original),5,274408
Ac (120x90),Cristal (Original),6,310522
Ac (120x90),Cristal (Original),8,440287
Ac (120x90),Cristal (Original),10,545628
Ac (120x90),Cristal (Original),15,825468
Ac (120x90),Opal (Original),2,140732
Ac (120x90),Opal (Original),3,169035
Ac (120x90),Opal (Original),4,263030
Ac (120x90),Opal (Original),5,274408
Ac (120x90),Opal (Original),10,529074
Ac (120x90),Color (Original),2,113206
Ac (120x90),Color (Original),3,169035
Ac (120x90),Color (Original),5,274408
Ac (120x90),Color (Original),10,529074
Ac (120x90),Color Traslúcido (Original),3,177668
Ac (120x90),Espejo (Original),3,234290
Ac (120x90),Espejo Traslúcido (Original),3,224073
Ac (120x90),Metalizado (Original),3,283035
Ac (120x90),Textura Madera (Original),3,251673
Ac (120x90),Blanco Sellado (Original),3,173084
Ac (120x90),Blanco Sellado (Original),5,267391
Ac (120x90),Cristal Mate (Original),3,173084
Ac (120x90),Negro Mate (Original),3,173084
Ac (120x60),Cristal (Recuperado),2,58621
Ac (120x60),Cristal (Recuperado),3,71444
Ac (120x60),Cristal (Recuperado),4,97457
Ac (120x60),Cristal (Recuperado),5,111746
Ac (120x60),Cristal (Recuperado),8,167069
Ac (120x60),Cristal (Recuperado),10,198944
Ac (120x60),Opal (Recuperado),2,62285
Ac (120x60),Opal (Recuperado),3,73276
Ac (120x60),Opal (Recuperado),4,100755
Ac (120x60),Opal (Recuperado),5,115410
Ac (120x60),Opal (Recuperado),8,171832
Ac (120x60),Opal (Recuperado),10,203707
Ac (120x60),Color (Recuperado),2,67781
Ac (120x60),Color (Recuperado),3,80604
Ac (120x60),Color (Recuperado),4,104785
Ac (120x60),Color (Recuperado),5,119074
Ac (120x60),Color (Recuperado),8,176962
Ac (120x60),Color (Recuperado),10,208470
Ac (120x60),Cristal (Original),2,79944
Ac (120x60),Cristal (Original),3,108996
Ac (120x60),Cristal (Original),4,165970
Ac (120x60),Cristal (Original),5,185999
Ac (120x60),Cristal (Original),10,403649
Ac (120x60),Opal (Original),2,107790
Ac (120x60),Opal (Original),3,114492
Ac (120x60),Opal (Original),5,183190
Ac (120x60),Color (Original),3,114492
Ac (120x60),Color (Original),5,183190
Ac (120x60),Espejo (Original),3,158570
Ac (120x60),Cristal Mate (Original),3,120470
Ac (120x60),Negro Mate (Original),3,120470
Ac Cuarto (90x60 / 120x45),Cristal (Recuperado),2,40312
Ac Cuarto (90x60 / 120x45),Cristal (Recuperado),3,49927
Ac Cuarto (90x60 / 120x45),Cristal (Recuperado),4,69158
Ac Cuarto (90x60 / 120x45),Cristal (Recuperado),5,83212
Ac Cuarto (90x60 / 120x45),Cristal (Recuperado),8,129070
Ac Cuarto (90x60 / 120x45),Cristal (Recuperado),10,140535
Ac Cuarto (90x60 / 120x45),Opal (Recuperado),2,42531
Ac Cuarto (90x60 / 120x45),Opal (Recuperado),3,53256
Ac Cuarto (90x60 / 120x45),Opal (Recuperado),4,71377
Ac Cuarto (90x60 / 120x45),Opal (Recuperado),5,85061
Ac Cuarto (90x60 / 120x45),Opal (Recuperado),8,143124
Ac Cuarto (90x60 / 120x45),Opal (Recuperado),10,156068
Ac Cuarto (90x60 / 120x45),Color (Recuperado),2,47338
Ac Cuarto (90x60 / 120x45),Color (Recuperado),3,55475
Ac Cuarto (90x60 / 120x45),Color (Recuperado),4,74706
Ac Cuarto (90x60 / 120x45),Color (Recuperado),5,88019
Ac Cuarto (90x60 / 120x45),Color (Recuperado),8,145343
Ac Cuarto (90x60 / 120x45),Color (Recuperado),10,158657
Ac Cuarto (90x60 / 120x45),Cristal (Original),2,64560
Ac Cuarto (90x60 / 120x45),Cristal (Original),3,84456
Ac Cuarto (90x60 / 120x45),Cristal (Original),4,110848
Ac Cuarto (90x60 / 120x45),Cristal (Original),5,141717
Ac Cuarto (90x60 / 120x45),Cristal (Original),6,160368
Ac Cuarto (90x60 / 120x45),Cristal (Original),8,227385
Ac Cuarto (90x60 / 120x45),Cristal (Original),10,281788
Ac Cuarto (90x60 / 120x45),Cristal (Original),15,426311
Ac Cuarto (90x60 / 120x45),Opal (Original),2,72681
Ac Cuarto (90x60 / 120x45),Opal (Original),3,87298
Ac Cuarto (90x60 / 120x45),Opal (Original),5,141717
Ac Cuarto (90x60 / 120x45),Opal (Original),10,273239
Ac Cuarto (90x60 / 120x45),Color (Original),2,58465
Ac Cuarto (90x60 / 120x45),Color (Original),3,87298
Ac Cuarto (90x60 / 120x45),Color (Original),5,141717
Ac Cuarto (90x60 / 120x45),Color (Original),10,273239
Ac Cuarto (90x60 / 120x45),Color Traslúcido (Original),3,91757
Ac Cuarto (90x60 / 120x45),Espejo (Original),3,120999
Ac Cuarto (90x60 / 120x45),Espejo Traslúcido (Original),3,115722
Ac Cuarto (90x60 / 120x45),Metalizado (Original),3,146173
Ac Cuarto (90x60 / 120x45),Textura Madera (Original),3,129976
Ac Cuarto (90x60 / 120x45),Blanco Sellado (Original),3,89389
Ac Cuarto (90x60 / 120x45),Blanco Sellado (Original),5,138094
Ac Cuarto (90x60 / 120x45),Cristal Mate (Original),3,89389
Ac Cuarto (90x60 / 120x45),Negro Mate (Original),3,89389
