Category,Material,Calliper,Price
Acrílico (Cuarto de lámina),Cristal  Org,2mm,16000
Acrílico (Cuarto de lámina),Cristal  Org,3mm,25000
Acrílico (Cuarto de lámina),Cristal  Org,4mm,32000
Acrílico (Cuarto de lámina),Cristal  Org,5mm,37000
Acrílico (Cuarto de lámina),Cristal  Org,6mm*,46000
Acrílico (Cuarto de lámina),Cristal  Org,8mm,65000
Acrílico (Cuarto de lámina),Cristal  Org,10mm,79000
Acrílico (Cuarto de lámina),Cristal  Org,15mm*,124000
Acrílico (Cuarto de lámina),Opal Org,2mm,18000
Acrílico (Cuarto de lámina),Opal Org,3mm,25000
Acrílico (Cuarto de lámina),Opal Org,4mm*,34000
Acrílico (Cuarto de lámina),Opal Org,5mm,44000
Acrílico (Cuarto de lámina),Opal Org,8mm*,69000
Acrílico (Cuarto de lámina),Opal Org,10mm,81000
Acrílico (Cuarto de lámina),Color Org,2mm,18000
Acrílico (Cuarto de lámina),Color Org,3mm,25000
Acrílico (Cuarto de lámina),Color Org,4mm*,48000
Acrílico (Cuarto de lámina),Color Org,5mm,42000
Acrílico (Cuarto de lámina),Color Org,8mm*,79000
Acrílico (Cuarto de lámina),Color Org,10mm,79000
Acrílico (Cuarto de lámina),Espejo Org,3mm,35000
Acrílico (Cuarto de lámina),Brush Org,3mm,41000
Acrílico (Cuarto de lámina),Cristal (Rec),2mm,55000
Acrílico (Cuarto de lámina),Cristal (Rec),3mm,68000
Acrílico (Cuarto de lámina),Cristal (Rec),4mm,96000
Acrílico (Cuarto de lámina),Cristal (Rec),5mm,113000
Acrílico (Cuarto de lámina),Cristal (Rec),8mm,181000
Acrílico (Cuarto de lámina),Cristal (Rec),10mm,197000
Acrílico (Cuarto de lámina),Opal (Rec),2mm,57000
Acrílico (Cuarto de lámina),Opal (Rec),3mm,71000
Acrílico (Cuarto de lámina),Opal (Rec),4mm,99000
Acrílico (Cuarto de lámina),Opal (Rec),5mm,116000
Acrílico (Cuarto de lámina),Opal (Rec),8mm,184000
Acrílico (Cuarto de lámina),Opal (Rec),10mm,200000
Acrílico (Cuarto de lámina),Color (Rec),2mm,65000
Acrílico (Cuarto de lámina),Color (Rec),3mm,76000
Acrílico (Cuarto de lámina),Color (Rec),4mm,103000
Acrílico (Cuarto de lámina),Color (Rec),5mm,121000
Acrílico (Cuarto de lámina),Color (Rec),8mm,191000
Acrílico (Cuarto de lámina),Color (Rec),10mm,210000
Acrílico (Lámina),Cristal  Org,2mm,223000
Acrílico (Lámina),Cristal  Org,3mm,327000
Acrílico (Lámina),Cristal  Org,4mm,422000
Acrílico (Lámina),Cristal  Org,5mm,528000
Acrílico (Lámina),Cristal  Org,6mm*,634000
Acrílico (Lámina),Cristal  Org,8mm,876000
Acrílico (Lámina),Cristal  Org,10mm,1054000
Acrílico (Lámina),Cristal  Org,15mm*,1630000
Acrílico (Lámina),Opal Org,2mm,235000
Acrílico (Lámina),Opal Org,3mm,327000
